"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2013","2013",0.70948,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2014","2014",0.57307,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2015","2015",0.62234,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2016","2016",0.64586,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2017","2017",0.65071,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2018","2018",0.646,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2019","2019",0.65469,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40606","Sub-Saharan Africa","2020","2020",0.65731,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2013","2013",1.83759,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2014","2014",1.91118,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2015","2015",1.96012,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2016","2016",2.03755,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2017","2017",2.0864,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2018","2018",2.15801,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2019","2019",2.17101,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40515","East Asia and the Pacific","2020","2020",2.18159,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2013","2013",0.71142,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2014","2014",0.57431,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2015","2015",0.62371,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2016","2016",0.64733,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2017","2017",0.65222,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2018","2018",0.6475,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2019","2019",0.65623,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40540","Sub-Saharan Africa","2020","2020",0.65883,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2013","2013",2.40856,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2014","2014",2.33306,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2015","2015",2.44048,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2016","2016",2.47114,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2017","2017",2.48211,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2018","2018",2.48222,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2019","2019",2.47031,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40500","North America and Western Europe","2020","2020",2.4979,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2013","2013",2.37987,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2014","2014",2.42593,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2015","2015",2.48254,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2016","2016",2.51641,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2017","2017",2.54147,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2018","2018",2.59982,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2019","2019",2.63585,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40530","Central and Eastern Europe","2020","2020",2.66954,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2013","2013",0.4372,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2014","2014",0.45587,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2015","2015",0.48915,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2016","2016",0.511,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2017","2017",0.53134,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2018","2018",0.5438,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2019","2019",0.55787,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40044","Low income countries","2020","2020",0.56705,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2013","2013",0.56126,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2014","2014",0.57383,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2015","2015",0.59442,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2016","2016",0.63635,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2017","2017",0.66637,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2018","2018",0.66761,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2019","2019",0.68467,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40334","Least Developed Countries","2020","2020",0.69652,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2013","2013",1.27231,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2014","2014",1.27079,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2015","2015",1.34726,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2016","2016",1.3214,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2017","2017",1.40926,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2018","2018",1.44948,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2019","2019",1.52356,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40505","Central Asia","2020","2020",1.58929,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2013","2013",1.95734,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2014","2014",2.02442,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2015","2015",2.07652,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2016","2016",2.15334,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2017","2017",2.20472,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2018","2018",2.26159,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2019","2019",2.28077,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40043","Upper middle income countries","2020","2020",2.29281,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2013","2013",0.66215,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2014","2014",0.69641,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2015","2015",0.74805,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2016","2016",0.7606,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2017","2017",0.78444,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2018","2018",0.80008,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2019","2019",0.82273,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40330","Landlocked Developing Countries","2020","2020",0.83861,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2013","2013",1.8425,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2014","2014",1.91045,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2015","2015",1.94152,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2016","2016",1.96251,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2017","2017",1.97781,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2018","2018",1.97563,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2019","2019",2.00839,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40344","Small Island Developing States","2020","2020",1.99793,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2013","2013",0.57865,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2014","2014",0.61356,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2015","2015",0.61581,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2016","2016",0.61902,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2017","2017",0.62067,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2018","2018",0.62167,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2019","2019",0.63555,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40525","Arab States","2020","2020",0.64763,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2013","2013",2.34921,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2014","2014",2.30231,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2015","2015",2.37714,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2016","2016",2.40866,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2017","2017",2.41268,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2018","2018",2.41997,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2019","2019",2.42308,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40041","High income countries","2020","2020",2.44423,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2013","2013",0.73282,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2014","2014",0.77025,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2015","2015",0.76428,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2016","2016",0.75856,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2017","2017",0.76057,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2018","2018",0.75341,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2019","2019",0.76885,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40603","Northern Africa","2020","2020",0.78477,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2013","2013",1.24078,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2014","2014",1.21093,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2015","2015",1.26038,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2016","2016",1.29975,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2017","2017",1.34706,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2018","2018",1.35607,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2019","2019",1.37738,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40042","Lower middle income countries","2020","2020",1.35135,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2013","2013",1.42667,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2014","2014",1.42589,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2015","2015",1.47405,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2016","2016",1.51674,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2017","2017",1.55422,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2018","2018",1.57375,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2019","2019",1.58829,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40510","World","2020","2020",1.57787,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2013","2013",1.48171,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2014","2014",1.4855,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2015","2015",1.53637,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2016","2016",1.58919,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2017","2017",1.63882,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2018","2018",1.66511,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2019","2019",1.68575,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40030","Middle income countries","2020","2020",1.67028,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2013","2013",1.84953,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2014","2014",1.91979,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2015","2015",1.95121,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2016","2016",1.97218,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2017","2017",1.98698,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2018","2018",1.98361,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2019","2019",2.0159,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40550","Small Island Developing States","2020","2020",2.00418,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2013","2013",1.91182,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2014","2014",1.95968,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2015","2015",1.9849,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2016","2016",2.02082,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2017","2017",2.0403,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2018","2018",2.04813,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2019","2019",2.06768,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40520","Latin America and the Caribbean","2020","2020",2.04057,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2013","2013",1.35824,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2014","2014",1.40626,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2015","2015",1.47169,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2016","2016",1.53887,"‡","UIS Estimation"
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2017","2017",1.63481,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2018","2018",1.65668,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2019","2019",1.70023,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","40535","South and West Asia","2020","2020",1.65265,,
"SLE_02_GPI","School life expectancy, pre-primary, gender parity index (GPI)","VEN","Venezuela (Bolivarian Republic of)","2013","2013",1.0098,,
"SLE_02_GPI","School life expectancy, pre-primary, gender parity index (GPI)","VEN","Venezuela (Bolivarian Republic of)","2014","2014",1.01301,,
"SLE_02_GPI","School life expectancy, pre-primary, gender parity index (GPI)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",1.01029,,
"SLE_02_GPI","School life expectancy, pre-primary, gender parity index (GPI)","VEN","Venezuela (Bolivarian Republic of)","2016","2016",1.01133,,
"SLE_02_GPI","School life expectancy, pre-primary, gender parity index (GPI)","VEN","Venezuela (Bolivarian Republic of)","2017","2017",1.01366,,
"SLE_1T2_GPI","School life expectancy, primary and lower secondary, gender parity index (GPI)","SLV","El Salvador","2013","2013",0.95663,,
"SLE_1T2_GPI","School life expectancy, primary and lower secondary, gender parity index (GPI)","SLV","El Salvador","2014","2014",0.963,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2013","2013",11.31357,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2014","2014",11.55483,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2015","2015",11.68058,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2016","2016",11.50492,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2017","2017",10.90644,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2018","2018",10.65807,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","PLW","Palau","2013","2013",2.41484,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","PLW","Palau","2014","2014",2.31733,,
"SLE_02_F","School life expectancy, pre-primary, female (years)","PLW","Palau","2020","2020",2.19542,,
"SLE_02","School life expectancy, pre-primary, both sexes (years)","GIN","Guinea","2020","2020",0.51527,,
"SLE_1T3_M","School life expectancy, primary and secondary, male (years)","SWZ","Eswatini","2013","2013",12.99877,,
"SLE_1T3_M","School life expectancy, primary and secondary, male (years)","SWZ","Eswatini","2014","2014",13.02188,"‡","UIS Estimation"
"SLE_1T3_M","School life expectancy, primary and secondary, male (years)","SWZ","Eswatini","2015","2015",13.01303,"‡","UIS Estimation"
"SLE_1T3_M","School life expectancy, primary and secondary, male (years)","SWZ","Eswatini","2016","2016",13.08558,"‡","UIS Estimation"
"SLE_1T3_F","School life expectancy, primary and secondary, female (years)","TGO","Togo","2017","2017",11.10207,,
"SLE_1T3_F","School life expectancy, primary and secondary, female (years)","TGO","Togo","2021","2021",11.39295,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2013","2013",15.98027,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2015","2015",16.19401,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2016","2016",16.24938,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2017","2017",16.32844,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2018","2018",16.41327,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2019","2019",16.5003,,
"SLE_1T8","School life expectancy, primary to tertiary, both sexes (years)","CHE","Switzerland","2020","2020",16.61781,,
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2013","2013",2.32954,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2014","2014",2.36746,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2015","2015",2.32404,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2016","2016",2.35045,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2017","2017",2.44332,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2018","2018",2.49306,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2019","2019",2.55014,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2020","2020",2.61485,"+","National Estimation"
"SLE_02","School life expectancy, pre-primary, both sexes (years)","SRB","Serbia","2021","2021",2.54899,"+","National Estimation"
"SLE_1T2_M","School life expectancy, primary and lower secondary, male (years)","FJI","Fiji","2013","2013",10.88746,"‡","UIS Estimation"